entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-04-19 16:00:00,2024-04-19 16:00:00,direct_entry,2024-05-01 16:00:00,expiry,409,387,6.1533,1.0004,5.1529,0.0000,0.0000,5.1529
2024-05-31 04:00:00,2024-05-31 04:00:00,direct_entry,2024-06-12 16:00:00,expiry,445,420,6.9743,1.0851,5.8893,0.0000,0.0000,5.8893
2024-08-02 06:00:00,2024-08-02 06:00:00,direct_entry,2024-08-14 16:00:00,expiry,446,421,6.7892,1.0399,5.7493,0.0000,0.0000,5.7493
2024-09-06 14:30:00,2024-09-06 14:30:00,direct_entry,2024-09-18 16:00:00,expiry,443,419,6.5909,1.0530,5.5379,0.0000,0.0000,5.5379
2024-11-15 14:30:00,2024-11-15 14:30:00,direct_entry,2024-11-27 16:00:00,expiry,489,462,7.3841,1.1380,6.2461,0.0000,0.0000,6.2461
2024-12-31 14:30:00,2024-12-31 14:30:00,direct_entry,2025-01-08 16:00:00,expiry,507,484,6.4569,1.0175,5.4394,0.0000,0.0000,5.4394
2025-02-25 06:00:00,2025-02-25 06:00:00,direct_entry,2025-03-05 16:00:00,expiry,512,488,6.6434,1.0168,5.6266,11.0700,0.0000,-5.4434
2025-03-06 15:00:00,2025-03-06 15:00:00,direct_entry,2025-03-19 16:00:00,expiry,482,454,7.6743,1.1545,6.5198,1.1200,0.0000,5.3998
2025-04-21 09:00:00,2025-04-21 09:00:00,direct_entry,2025-04-30 16:00:00,expiry,433,412,5.8119,0.9106,4.9013,0.0000,0.0000,4.9013
2025-05-07 14:30:00,2025-05-07 14:30:00,direct_entry,2025-05-14 16:00:00,expiry,477,457,5.6827,0.9256,4.7571,0.0000,0.0000,4.7571
2025-06-12 08:30:00,2025-06-12 08:30:00,direct_entry,2025-06-25 16:00:00,expiry,524,494,8.4065,1.3365,7.0700,0.0000,0.0000,7.0700
2025-08-20 11:00:00,2025-08-20 11:00:00,direct_entry,2025-08-27 16:00:00,expiry,557,534,6.3721,1.0697,5.3024,0.0000,0.0000,5.3024
2025-11-07 08:30:00,2025-11-07 08:30:00,direct_entry,2025-11-19 16:00:00,expiry,600,567,9.1595,1.4574,7.7021,0.0000,0.0000,7.7021
2026-01-14 08:00:00,2026-01-14 08:00:00,direct_entry,2026-01-21 16:00:00,expiry,617,590,7.3762,1.1270,6.2492,0.0000,0.0000,6.2492
2026-01-30 13:30:00,2026-01-30 13:30:00,direct_entry,2026-02-11 16:00:00,expiry,615,581,9.3516,1.4464,7.9052,1.8300,0.0000,6.0752
2026-02-17 08:30:00,2026-02-17 08:30:00,direct_entry,2026-02-25 16:00:00,expiry,590,564,7.2471,1.2269,6.0202,0.0000,0.0000,6.0202
2026-02-27 09:30:00,2026-02-27 09:30:00,direct_entry,2026-03-11 16:00:00,expiry,596,563,8.9999,1.3983,7.6016,0.0000,0.0000,7.6016
2026-03-12 16:30:00,2026-03-12 16:30:00,direct_entry,2026-03-25 16:00:00,expiry,589,556,9.1632,1.4749,7.6883,1.7600,0.0000,5.9283
2026-03-27 09:00:00,2026-03-27 09:00:00,direct_entry,2026-03-27 19:30:00,force_close,563,532,8.6158,1.3671,7.2486,2.8700,0.0000,4.3786
